date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:28	42910/42910	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263358416-a79e%22	https://adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.js	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.js	(from https://adminlte.io/themes/v3/pages/UI/modals.html)
18:19:29	5251/5251	---MCZ	200	added ('OK')	application/javascript	etag:W/%226335841c-1483%22	https://adminlte.io/themes/v3/plugins/toastr/toastr.min.js	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/toastr/toastr.min.js	(from https://adminlte.io/themes/v3/pages/UI/modals.html)
18:19:31	24260/24260	---MCZ	200	added ('OK')	text/css	etag:W/%2263358416-5ec4%22	https://adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/sweetalert2/sweetalert2.min.css	(from https://adminlte.io/themes/v3/pages/UI/navbar.html)
18:19:31	2338/2338	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633581ac-922%22	https://adminlte.io/themes/v3/plugins/bs-custom-file-input/bs-custom-file-input.min.js	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/bs-custom-file-input/bs-custom-file-input.min.js	(from https://adminlte.io/themes/v3/pages/forms/general.html)
18:19:33	9495/9495	---MCZ	200	added ('OK')	text/css	etag:W/%22633581a3-2517%22	https://adminlte.io/themes/v3/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css	(from https://adminlte.io/themes/v3/pages/forms/advanced.html)
18:19:33	14966/14966	---MCZ	200	added ('OK')	text/css	etag:W/%22633583c8-3a76%22	https://adminlte.io/themes/v3/plugins/select2/css/select2.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/select2/css/select2.min.css	(from https://adminlte.io/themes/v3/pages/forms/advanced.html)
18:19:34	6705/6705	---MCZ	200	added ('OK')	text/css	etag:W/%22633583c8-1a31%22	https://adminlte.io/themes/v3/plugins/select2-bootstrap4-theme/select2-bootstrap4.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/select2-bootstrap4-theme/select2-bootstrap4.min.css	(from https://adminlte.io/themes/v3/pages/forms/advanced.html)
18:19:35	1552/1552	---MCZ	200	added ('OK')	text/css	etag:W/%22633581a9-610%22	https://adminlte.io/themes/v3/plugins/bootstrap4-duallistbox/bootstrap-duallistbox.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/bootstrap4-duallistbox/bootstrap-duallistbox.min.css	(from https://adminlte.io/themes/v3/pages/forms/advanced.html)
18:19:36	3236/3236	---MCZ	200	added ('OK')	text/css	etag:W/%22633581ad-ca4%22	https://adminlte.io/themes/v3/plugins/bs-stepper/css/bs-stepper.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/bs-stepper/css/bs-stepper.min.css	(from https://adminlte.io/themes/v3/pages/forms/advanced.html)
18:19:37	9830/9830	---MCZ	200	added ('OK')	text/css	etag:W/%2263358247-2666%22	https://adminlte.io/themes/v3/plugins/dropzone/min/dropzone.min.css	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/dropzone/min/dropzone.min.css	(from https://adminlte.io/themes/v3/pages/forms/advanced.html)
18:19:39	79172/79172	---MCZ	200	added ('OK')	application/javascript	etag:W/%22633583ca-13544%22	https://adminlte.io/themes/v3/plugins/select2/js/select2.full.min.js	ngetes13/ngestes13/adminlte.io/themes/v3/plugins/select2/js/select2.full.min.js	(from https://adminlte.io/themes/v3/pages/forms/advanced.html)
